,positive
168,['@plantkuroba i got so happy - animated emotes are so fun to make so ima make so many for myself - caps for hype u w u']
169,['rt @blink182: happy birthday kid 🎂 https://t.co/buqhhorjba']
170,['@loonatheworld happy birthday ily']
171,['to make a man happy fill his hands w to make a man happy fill ــꝏjvkꝏــ.ستايلي 2373240']
172,['@pupamp @kristoferweston happy anniversary 🥳🎉🔐🐕']
173,"[""@ntstarr we'll be happy to have a closer look into this. please dm the ticket info.""]"
174,['rt @carl_i_am11: we’re happy today 😁 https://t.co/gejpc3t8wd']
175,"[""rt @edomalo: if you wait until life is easy before you are happy, you'll be waiting for a loooooooong time. get your happy today.""]"
176,['rt @mitchoo_oo: happy thursday 🤠 https://t.co/dbxqk7nw8t']
177,['rt @replamalfa: happy national rural health day! i am proud to celebrate the rural health care providers in ca-01 and across the nation who…']
178,"[""rt @landon_ricky: don't be fooled, this is the face of a volunteer. a willing and happy participant in cleaning this goddess of a woman~.…""]"
179,['@toybeann eeeeee im happy i can respond!! hiiiii!!']
180,['rt @thinkerawsten: happy one year to the lowkey as hell music video https://t.co/cwnao17kkn']
181,['kids these days don’t even get happy meals anymore. they get two big macs and a large fry']
182,"['@gzembui happy birthday, i hope you always healthy, and wish u all the best. wml dana']"
183,['rt @thecartooncrave: happy birthday mickey mouse 🥳 https://t.co/brorwykrtc']
184,['rt @secretlifeofkr: happy friday eve! i’m running ragged today but knew i needed to share something with you. this is from a promo shoot i…']
185,"[""rt @adidearro: @yhvmagsisi @nikitalila @dimash_official @billboardcharts i am so happy that @dimash_official's music has started to be know…""]"
186,['rt @ninechronicles: happy to share #ninechronicles content creators infographics! 🔢 https://t.co/l2sulkzajw']
187,['rt @muizzqureshippp: today meet irrigation minister @jamkhanshoro happy mood at sari banquet latifabad hyderabad .. https://t.co/ivijleo0wd']
188,['rt @postmangav: @60mwpodcast @alanjsanders happy birthday alan']
189,['rt @marktuan: happy mothers day!! ❤️ https://t.co/wjajxzcsep']
190,"['rt @redsox: happy birthday, big papi! thankful for all the memories. especially this one. https://t.co/hvh6wl9rxl']"
191,['rt @kevinmurchison4: amazing story and team behind @mutantcats dao. picked up some cats &amp; gorillas during the dip and happy to join this co…']
192,"[""rt @criterion: wishing a very happy birthday to the brilliant chloë sevigny—actor, director, and forever style icon! 💘 here's she is as al…""]"
193,"['rt @cybrid101: happy birthday, sonic unleashed! 🌎🦔🐺 https://t.co/9ja0alxvbf']"
194,['rt @boo15733919: to all those people who 👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻 hope your happy .. ppc/fringe parties we canadians had 1 chance to get ri…']
195,['rt @nikkisin6: i was a happy woman after making that video 🤭 https://t.co/agtaetdudx']
